time,exp1_s1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.25,1
0.25,3
0.25,0
0.25,2
0.25,1
0.25,3
0.25,0
0.25,5
0.25,3
0.25,4
0.25,2
0.25,1
0.25,3
0.25,0
0.25,0
0.25,2
0.25,1
0.25,4
0.25,3
0.25,3
0.25,4
0.25,2
0.25,1
0.25,3
0.25,1
0.25,1
0.25,1
0.25,2
0.25,0
0.25,1
0.25,0
0.25,1
0.25,0
0.25,1
0.25,1
0.25,5
0.25,0
0.25,4
0.25,5
0.25,3
0.25,3
0.25,2
0.25,2
0.25,0
0.25,3
0.25,0
0.25,1
0.25,3
0.25,0
0.25,0
0.25,3
0.25,2
0.25,1
0.25,2
0.25,6
0.25,1
0.25,2
0.25,3
0.25,2
0.25,3
0.25,2
0.25,3
0.25,0
0.25,4
0.25,3
0.25,0
0.25,2
0.25,3
0.25,6
0.25,3
0.25,3
0.25,0
0.25,1
0.25,2
0.25,4
0.25,4
0.25,0
0.25,4
0.25,1
0.25,1
0.25,2
0.25,2
0.25,0
0.25,3
0.25,2
0.25,5
0.25,5
0.25,2
0.25,0
0.25,4
0.25,3
0.25,0
0.25,5
0.25,1
0.25,1
0.25,2
0.25,4
0.25,0
0.25,0
0.25,4
0.5,4
0.5,1
0.5,3
0.5,4
0.5,4
0.5,6
0.5,3
0.5,3
0.5,3
0.5,8
0.5,4
0.5,5
0.5,6
0.5,5
0.5,2
0.5,5
0.5,1
0.5,8
0.5,4
0.5,6
0.5,2
0.5,4
0.5,5
0.5,6
0.5,2
0.5,5
0.5,5
0.5,2
0.5,2
0.5,0
0.5,1
0.5,5
0.5,3
0.5,9
0.5,8
0.5,7
0.5,4
0.5,5
0.5,4
0.5,3
0.5,0
0.5,3
0.5,5
0.5,3
0.5,2
0.5,8
0.5,2
0.5,6
0.5,5
0.5,7
0.5,6
0.5,4
0.5,2
0.5,3
0.5,9
0.5,4
0.5,1
0.5,4
